file,transcript
sample_0001.wav,"the student reviews the lecture notes for machine learning in round one"
sample_0002.wav,"the student summarizes the lecture notes for machine learning in round two"
sample_0003.wav,"the student explains the lecture notes for machine learning in round three"
sample_0004.wav,"the student records the lecture notes for machine learning in round four"
sample_0005.wav,"the student tests the lecture notes for machine learning in round five"
sample_0006.wav,"the student organizes the lecture notes for machine learning in round six"
sample_0007.wav,"the student compares the lecture notes for machine learning in round seven"
sample_0008.wav,"the student improves the lecture notes for machine learning in round eight"
sample_0009.wav,"the student documents the lecture notes for machine learning in round nine"
sample_0010.wav,"the student verifies the lecture notes for machine learning in round ten"
sample_0011.wav,"the lecturer reviews the lecture notes for machine learning in round one"
sample_0012.wav,"the lecturer summarizes the lecture notes for machine learning in round two"
sample_0013.wav,"the lecturer explains the lecture notes for machine learning in round three"
sample_0014.wav,"the lecturer records the lecture notes for machine learning in round four"
sample_0015.wav,"the lecturer tests the lecture notes for machine learning in round five"
sample_0016.wav,"the lecturer organizes the lecture notes for machine learning in round six"
sample_0017.wav,"the lecturer compares the lecture notes for machine learning in round seven"
sample_0018.wav,"the lecturer improves the lecture notes for machine learning in round eight"
sample_0019.wav,"the lecturer documents the lecture notes for machine learning in round nine"
sample_0020.wav,"the lecturer verifies the lecture notes for machine learning in round ten"
sample_0021.wav,"the researcher reviews the lecture notes for machine learning in round one"
sample_0022.wav,"the researcher summarizes the lecture notes for machine learning in round two"
sample_0023.wav,"the researcher explains the lecture notes for machine learning in round three"
sample_0024.wav,"the researcher records the lecture notes for machine learning in round four"
sample_0025.wav,"the researcher tests the lecture notes for machine learning in round five"
sample_0026.wav,"the researcher organizes the lecture notes for machine learning in round six"
sample_0027.wav,"the researcher compares the lecture notes for machine learning in round seven"
sample_0028.wav,"the researcher improves the lecture notes for machine learning in round eight"
sample_0029.wav,"the researcher documents the lecture notes for machine learning in round nine"
sample_0030.wav,"the researcher verifies the lecture notes for machine learning in round ten"
sample_0031.wav,"the engineer reviews the lecture notes for machine learning in round one"
sample_0032.wav,"the engineer summarizes the lecture notes for machine learning in round two"
sample_0033.wav,"the engineer explains the lecture notes for machine learning in round three"
sample_0034.wav,"the engineer records the lecture notes for machine learning in round four"
sample_0035.wav,"the engineer tests the lecture notes for machine learning in round five"
sample_0036.wav,"the engineer organizes the lecture notes for machine learning in round six"
sample_0037.wav,"the engineer compares the lecture notes for machine learning in round seven"
sample_0038.wav,"the engineer improves the lecture notes for machine learning in round eight"
sample_0039.wav,"the engineer documents the lecture notes for machine learning in round nine"
sample_0040.wav,"the engineer verifies the lecture notes for machine learning in round ten"
sample_0041.wav,"the team reviews the lecture notes for machine learning in round one"
sample_0042.wav,"the team summarizes the lecture notes for machine learning in round two"
sample_0043.wav,"the team explains the lecture notes for machine learning in round three"
sample_0044.wav,"the team records the lecture notes for machine learning in round four"
sample_0045.wav,"the team tests the lecture notes for machine learning in round five"
sample_0046.wav,"the team organizes the lecture notes for machine learning in round six"
sample_0047.wav,"the team compares the lecture notes for machine learning in round seven"
sample_0048.wav,"the team improves the lecture notes for machine learning in round eight"
sample_0049.wav,"the team documents the lecture notes for machine learning in round nine"
sample_0050.wav,"the team verifies the lecture notes for machine learning in round ten"
sample_0051.wav,"the developer reviews the lecture notes for machine learning in round one"
sample_0052.wav,"the developer summarizes the lecture notes for machine learning in round two"
sample_0053.wav,"the developer explains the lecture notes for machine learning in round three"
sample_0054.wav,"the developer records the lecture notes for machine learning in round four"
sample_0055.wav,"the developer tests the lecture notes for machine learning in round five"
sample_0056.wav,"the developer organizes the lecture notes for machine learning in round six"
sample_0057.wav,"the developer compares the lecture notes for machine learning in round seven"
sample_0058.wav,"the developer improves the lecture notes for machine learning in round eight"
sample_0059.wav,"the developer documents the lecture notes for machine learning in round nine"
sample_0060.wav,"the developer verifies the lecture notes for machine learning in round ten"
sample_0061.wav,"the analyst reviews the lecture notes for machine learning in round one"
sample_0062.wav,"the analyst summarizes the lecture notes for machine learning in round two"
sample_0063.wav,"the analyst explains the lecture notes for machine learning in round three"
sample_0064.wav,"the analyst records the lecture notes for machine learning in round four"
sample_0065.wav,"the analyst tests the lecture notes for machine learning in round five"
sample_0066.wav,"the analyst organizes the lecture notes for machine learning in round six"
sample_0067.wav,"the analyst compares the lecture notes for machine learning in round seven"
sample_0068.wav,"the analyst improves the lecture notes for machine learning in round eight"
sample_0069.wav,"the analyst documents the lecture notes for machine learning in round nine"
sample_0070.wav,"the analyst verifies the lecture notes for machine learning in round ten"
sample_0071.wav,"the professor reviews the lecture notes for machine learning in round one"
sample_0072.wav,"the professor summarizes the lecture notes for machine learning in round two"
sample_0073.wav,"the professor explains the lecture notes for machine learning in round three"
sample_0074.wav,"the professor records the lecture notes for machine learning in round four"
sample_0075.wav,"the professor tests the lecture notes for machine learning in round five"
sample_0076.wav,"the professor organizes the lecture notes for machine learning in round six"
sample_0077.wav,"the professor compares the lecture notes for machine learning in round seven"
sample_0078.wav,"the professor improves the lecture notes for machine learning in round eight"
sample_0079.wav,"the professor documents the lecture notes for machine learning in round nine"
sample_0080.wav,"the professor verifies the lecture notes for machine learning in round ten"
sample_0081.wav,"the presenter reviews the lecture notes for machine learning in round one"
sample_0082.wav,"the presenter summarizes the lecture notes for machine learning in round two"
sample_0083.wav,"the presenter explains the lecture notes for machine learning in round three"
sample_0084.wav,"the presenter records the lecture notes for machine learning in round four"
sample_0085.wav,"the presenter tests the lecture notes for machine learning in round five"
sample_0086.wav,"the presenter organizes the lecture notes for machine learning in round six"
sample_0087.wav,"the presenter compares the lecture notes for machine learning in round seven"
sample_0088.wav,"the presenter improves the lecture notes for machine learning in round eight"
sample_0089.wav,"the presenter documents the lecture notes for machine learning in round nine"
sample_0090.wav,"the presenter verifies the lecture notes for machine learning in round ten"
sample_0091.wav,"the project manager reviews the lecture notes for machine learning in round one"
sample_0092.wav,"the project manager summarizes the lecture notes for machine learning in round two"
sample_0093.wav,"the project manager explains the lecture notes for machine learning in round three"
sample_0094.wav,"the project manager records the lecture notes for machine learning in round four"
sample_0095.wav,"the project manager tests the lecture notes for machine learning in round five"
sample_0096.wav,"the project manager organizes the lecture notes for machine learning in round six"
sample_0097.wav,"the project manager compares the lecture notes for machine learning in round seven"
sample_0098.wav,"the project manager improves the lecture notes for machine learning in round eight"
sample_0099.wav,"the project manager documents the lecture notes for machine learning in round nine"
sample_0100.wav,"the project manager verifies the lecture notes for machine learning in round ten"
sample_0101.wav,"the student reviews the meeting action items for this week in round eleven"
sample_0102.wav,"the student summarizes the meeting action items for this week in round twelve"
sample_0103.wav,"the student explains the meeting action items for this week in round thirteen"
sample_0104.wav,"the student records the meeting action items for this week in round fourteen"
sample_0105.wav,"the student tests the meeting action items for this week in round fifteen"
sample_0106.wav,"the student organizes the meeting action items for this week in round sixteen"
sample_0107.wav,"the student compares the meeting action items for this week in round seventeen"
